time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,acc_x,acc_y,acc_z,omg_p,omg_q,omg_r,orient_0,orient_1,orient_2,orient_3
0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9990482215818578,-0.043619387365336,0.0,0.0
0.01,-2.506979663904587e-42,7.2239776520245285e-12,1000.0000000000825,-2.0895002268942907e-39,4.397226980365283e-09,5.026053437268847e-08,-1.68295315514048e-36,2.710329438887613e-06,3.0979207244199215e-05,1.3612864816002073e-36,-2.8138345360000644e-42,7.312555771765554e-37,0.9990482215818578,-0.043619387365336,1.9131479494042154e-41,4.381702524998197e-40
0.02,-5.502808594902961e-41,1.5856597037980772e-10,1000.0000000018124,-4.586443190248073e-38,9.65189258201107e-08,1.1032163703302062e-06,-3.6940742760163673e-35,5.949160396498899e-05,0.000679992144894988,2.98801743744816e-35,-6.176353598824106e-41,1.6051025595040586e-35,0.9990482215818578,-0.043619387365336,4.199350768927167e-40,9.617816475349663e-39
0.03,8.341089000538926e-40,-2.403523307388668e-09,999.9999999725276,6.952073688554213e-37,-1.4630219034833697e-06,-1.672241687690036e-05,5.599431959053499e-34,-0.0009017663523976126,-0.010307236572775026,-4.529199762463637e-34,9.362040161511244e-40,-2.4329945468605336e-34,0.9990482215818578,-0.043619387365336,-6.365323798568492e-39,-1.4578566895103104e-37
0.04,-2.16133786882884e-38,5.802508377574023e-07,1000.0000066322974,-1.801417072637638e-35,0.00022221297225458075,0.002539905895221913,-1.450921376843102e-32,0.08894470715280861,1.0166426548103933,1.1736034661026592e-32,-2.4258861078287684e-38,6.304360555850655e-33,0.9990482215818578,-0.043619387365336,1.6493788008154134e-37,3.7775893173667095e-36
0.05,-4.294297037334025e-37,1.1845302218135504e-05,1000.0001353924238,-3.5791812606432153e-34,0.002296377210906947,0.02624771162753562,-2.8827919317205792e-31,0.3242651043673676,3.7063671028793768,2.331797337276331e-31,-4.819919956061169e-37,1.2525943883056478e-31,0.9990482215818578,-0.043619387365336,3.277101003010317e-36,7.505578303045585e-35
0.06,-5.572625042883187e-36,5.6229845853237e-05,1000.0006427100791,-4.644633324773707e-33,0.006840100309964814,0.07818270429903192,-3.7409425506580596e-30,0.5888388760346042,6.730459150974729,3.0259276719016768e-30,-6.254715595666811e-36,1.625467171032131e-30,0.9990482215818578,-0.043619387365336,4.252629699032256e-35,9.739841759721096e-34
0.07,2.1833488942136368e-35,0.0001610337924223819,1000.0018406246699,1.8197626712070624e-32,0.014067128901930195,0.1607880190987479,1.4656975336474706e-29,0.8567797208473842,9.793037021230862,-1.1855554223685565e-29,2.450591287648237e-35,-6.368564048618273e-30,0.9990482215818578,-0.043619387365336,-1.6661760444011955e-34,-3.816060217986682e-33
0.08,-7.327324005275017e-35,0.0003514110583747478,1000.004016646777,-6.107127788864602e-32,0.023986551854598994,0.27416754226096357,-4.918884357525246e-29,1.1271587528536826,12.883483498632838,3.9787267756094536e-29,-8.224190103877072e-35,2.137291587077246e-29,0.9990482215818578,-0.043619387365336,5.591690709400869e-34,1.280670703382913e-32
0.09,2.280957930885935e-34,0.0006542000688825225,1000.0074775410038,1.9011171820593948e-31,0.03659503013561186,0.418283108471171,1.5312231693768078e-28,1.3942311256920474,15.936134688797926,-1.2385569939477492e-28,2.5601476922608048e-34,-6.653277775965707e-29,0.9990482215818578,-0.043619387365336,-1.740664294561982e-33,-3.9866614273253824e-32
0.1,-1.3666073329145964e-33,0.0010956922778161604,1000.0125238200432,-1.1390305128175665e-30,0.05199373304196546,0.5942910880854758,-9.17413154913518e-28,1.696539746033153,19.391538030872386,7.420658869864518e-28,-1.5338803764035579e-33,3.9862279235553093e-28,0.9990482215818578,-0.043619387365336,1.0428971779269419e-32,2.38855818717995e-31
0.11,-1.4087778222202178e-32,0.0017078491259883183,1000.0195208048353,-1.1741784831984274e-29,0.07070003613404087,0.8081051108192039,-9.457225022339406e-27,2.0443369022293427,23.366877716946487,7.649644042104802e-27,-1.581212543040827e-32,4.109234128755117e-27,0.9990482215818578,-0.043619387365336,1.0750786855402764e-31,2.4622638267315124e-30
0.12,-2.959031673606948e-32,0.0025281707616389634,1000.0288971240359,-2.4662734374794742e-29,0.09288490072854125,1.061679273464022,-1.9864188620905205e-26,2.3924368325956262,27.345678127620687,1.6067500961034042e-26,-3.3212178128901636e-32,8.631136684200511e-27,0.9990482215818578,-0.043619387365336,2.2581217790040717e-31,5.1717996529734314e-30
0.13,2.4071594388706757e-31,0.003587372567132676,1000.0410038560719,2.0063027499222826e-28,0.11855227325154546,1.3550586838764191,1.6159431330464006e-25,2.7411105736004195,31.331037223904936,-1.3070842378064473e-25,2.7017962930754087e-31,-7.021392276017933e-26,0.9990482215818578,-0.043619387365336,-1.83697227810449e-30,-4.2072365975818744e-29
0.14,-7.636371589984795e-31,0.004921738374925867,1000.056255727046,-6.364710651490004e-28,0.1477086983413171,1.6883181476140523,-5.12635018393957e-25,3.0897846710333217,35.31640039418111,4.146539185615754e-25,-8.571065182141322e-31,2.2274370211171806e-25,0.9990482215818578,-0.043619387365336,5.827533768468595e-30,1.3346860829954596e-28
0.15,1.3278710479306183e-30,0.006561961018941788,1000.0750035576554,1.1067448595159348e-27,0.1803565085314338,2.0614843256577107,8.914092132099481e-25,3.4401951341649846,39.32161031521084,-7.210321379475888e-25,1.4904027614657095e-30,-3.873238876051361e-25,0.9990482215818578,-0.043619387365336,-1.013336409943202e-29,-2.3208548546930024e-28
0.16,1.1397837185948229e-29,0.008536430970829316,1000.0975718524757,9.499791214520766e-27,0.216493150226445,2.4745280302778343,7.651448605687255e-24,3.7937474826331705,43.362732149966305,-6.1890097889928414e-24,1.2792935009124006e-29,-3.324610937207902e-24,0.9990482215818578,-0.043619387365336,-8.698015845081812e-29,-1.9921155602596236e-27
0.17,2.4185965127355544e-29,0.010882878685948734,1000.1243918725852,2.0158352438550218e-26,0.25611281968605387,2.9273829244192795,1.623620921511782e-23,4.147976630989683,47.41158984284384,-1.3132945530576985e-23,2.714633267341748e-29,-7.054752834025998e-24,0.9990482215818578,-0.043619387365336,-1.8457002365825008e-28,-4.227226331106189e-27
0.18,3.3237165168353406e-29,0.013640141696230184,1000.1559075330052,2.7702284609852594e-26,0.29920934921665787,3.419978511021581,2.2312343731135464e-23,4.499963523147359,51.434818430092506,-1.80477346034486e-23,3.7305401625711254e-29,-9.694878163088997e-24,0.9990482215818578,-0.043619387365336,-2.536423222787842e-28,-5.80919632651232e-27
0.19,3.2096347605142686e-29,0.016847057533603833,1000.1925627487569,2.675144380667627e-26,0.34577657112465454,3.9522442930242767,2.154650484337406e-23,4.846789103019042,55.39905294796138,-1.7428272248356307e-23,3.6024947737370553e-29,-9.362115509426509e-24,0.9990482215818578,-0.043619387365336,-2.4493641686947757e-28,-5.609804074981361e-27
0.2,1.4308422733924247e-29,0.02054246372999983,1000.2348014348617,1.1925686107269537e-26,0.3958083177164413,4.524109773366902,9.605345241467435e-24,5.185534314517572,59.27092843269952,-7.769453706048681e-24,1.6059776879760482e-29,-4.173593458068095e-24,0.9990482215818578,-0.043619387365336,-1.0919166998738637e-28,-2.50082810501663e-27
0.21,-8.112462812509188e-31,0.024764229439970257,1000.2830564377365,-6.761519900408186e-28,0.4492858249797008,5.135360478407259,-5.445953584245626e-25,5.514220001018147,63.02782302057013,4.40505605935119e-25,-9.10543007688449e-31,2.3663070593262224e-25,0.9990482215818578,-0.043619387365336,6.190852609548949e-30,1.4178973727358557e-28
0.22,-1.0650315534069686e-28,0.029539237918807602,1000.3376350343957,-8.876751991786945e-26,0.5060646554950454,5.784345480887269,-7.14963204104651e-23,5.841758820735343,66.7716088611224,5.783106568453414e-23,-1.1953916539709046e-28,3.1065679331633274e-23,0.9990482215818578,-0.043619387365336,8.127560673060476e-28,1.8614636225240929e-26
0.23,1.1167767376008252e-27,0.034896828177593216,1000.3988725712703,9.30803420627987e-25,0.5661168366664543,6.470745052571372,7.497001117294788e-22,6.1681155719555925,70.5018835969291,-6.064082201184717e-22,1.2534704602942011e-27,-3.2575023626626557e-22,0.9990482215818578,-0.043619387365336,-8.522442986855689e-27,-1.951903927047978e-25
0.24,-4.547525087321165e-27,0.04087154128833666,1000.4671638546201,-3.790240040067072e-24,0.6294799367531755,7.194988600627697,-3.052785710223024e-21,6.506005871737394,74.36398739603082,2.4692998173214166e-21,-5.104143176056498e-27,1.3264579407375947e-21,0.9990482215818578,-0.043619387365336,3.4703465771726464e-26,7.948170639156071e-25
0.25,1.4521711963257738e-26,0.04749647178852092,1000.5428871567395,1.2103456952204225e-23,0.6960069886510983,7.955396283369473,9.74852780757778e-21,6.7972919275451265,77.69340224897826,-7.885269461853568e-21,1.6299172758513085e-26,-4.2358073406725e-21,0.9990482215818578,-0.043619387365336,-1.1081934115522433e-25,-2.5381068260282713e-24
0.26,-3.758121306387428e-26,0.05479895202549858,1000.626354887788,-3.1322931874774326e-23,0.7649739715400002,8.743692504953268,-2.5228533765346472e-20,6.9763403198056215,79.73993473724106,2.0406546587741365e-20,-4.218116195613899e-26,1.0961984273624492e-20,0.9990482215818578,-0.043619387365336,2.8679299535000295e-25,6.568449618693844e-24
0.27,4.3052123691972115e-26,0.06279936104474945,1000.7177999813216,3.5882788966285175e-23,0.835362381807705,9.548235715821358,2.8901194710951674e-20,7.088619885146023,81.02329604161314,-2.3377243473440517e-20,4.832171326988008e-26,-1.255778258289362e-20,0.9990482215818578,-0.043619387365336,-3.2854308052308106e-25,-7.524656135177504e-24
0.28,-2.2689711653367447e-25,0.07150940621162616,1000.8173562531385,-1.8911265348693057e-22,0.9068450584541768,10.36528644863191,-1.52317636900127e-19,7.208107596144719,82.38904682786547,1.232048196874054e-19,-2.546693743924918e-25,6.61831383395066e-20,0.9990482215818578,-0.043619387365336,1.7315168506235187e-24,3.965710941914728e-23
0.29,-8.095400822425424e-23,0.08093950783097817,1000.925142807868,-6.747299189859697e-20,0.979155283766992,11.19179610598184,-5.43449974979383e-17,7.120846007489111,81.39164230550587,4.3957914223919846e-17,-9.086279695394824e-23,2.3613302836522593e-17,0.9990482215818578,-0.043619387365336,6.177832116478566e-22,1.414915275748481e-20
0.3,-8.691032202600878e-22,0.09107788658979146,1001.0410250073464,-7.243741950022964e-19,1.0475431407293447,11.973472887935246,-5.834351302241489e-16,6.53138431246096,74.65406430082113,4.719218435990839e-16,-9.754816489846807e-22,2.5350687367262243e-16,0.9990482215818578,-0.043619387365336,6.6323754739658265e-21,1.5190198107816092e-19
0.31,9.272494228336929e-21,0.1018683821817739,1001.1643609363356,7.728374933767874e-18,1.1094451288258873,12.681015849524254,6.224690866976029e-15,5.832134239321922,66.66159939262896,-5.034951509774752e-15,1.0407449597703932e-20,-2.7046741608777816e-15,0.9990482215818578,-0.043619387365336,-7.076105791451037e-20,-1.6206478240854772e-18
0.32,-3.625436464046007e-20,0.11324243354244849,1001.2943669382823,-3.021703934533103e-17,1.164178357911237,13.306619520666054,-2.4337811047197166e-14,5.108696032681008,58.392662850677624,1.968606973348832e-14,-4.069190698865942e-20,1.0574958673194058e-14,0.9990482215818578,-0.043619387365335986,2.766674351910046e-19,6.3365428676789985e-18
0.33,1.3556214649333997e-19,0.12512789835537502,1001.4302184227367,1.1298740868720964e-16,1.2117261861694002,13.850093684550018,9.10038264144712e-14,4.406192516501881,50.363010926291665,-7.361005759044476e-14,1.5215498357220725e-19,-3.954183478412647e-14,0.9990482215818578,-0.04361938736533604,-1.0345135475755415e-18,-2.369357071923378e-17
0.34,-5.051812859467834e-19,0.13745276483267402,1001.5710922911968,-4.2105503558992077e-16,1.251987825887505,14.310286332283924,-3.3913176534423665e-13,3.6281590826424126,41.470048052598656,2.7431273784075553e-13,-5.670155884408019e-19,1.47355257065966e-13,0.9990482215818578,-0.043619387365335834,3.855183012458838e-18,8.829565505000045e-17
0.35000000000000003,-1.8930567074449627e-18,0.15014640268742158,1001.7161812357888,-1.577811929104085e-15,1.2860622420281806,14.699758690873503,-1.2708223383401164e-12,3.2316968211036676,36.93846359916448,1.027927167440119e-12,-2.1247672722318243e-18,5.521816930395734e-13,0.9990482215818578,-0.04361938736533538,1.444645766417379e-17,3.308687132330901e-16
0.36,-4.2263066754295306e-17,0.16316366142237296,1001.864969183965,-3.5225131198235966e-14,1.3170829261848065,15.054326730796209,-2.8371495215591422e-11,2.9710224243586607,33.95893963313875,2.294878665030085e-11,-4.743607558638669e-17,1.2327624239491924e-11,0.9990482215818584,-0.04361938736532225,3.2252156114654e-16,7.386744654443705e-15
0.37,2.3148938848931727e-16,0.17647704573167597,1002.017141862967,1.9294018884010296e-13,1.3455933753256377,15.380202672298466,1.5540046149910207e-10,2.7337024132445724,31.246372901441585,-1.2569841699218475e-10,2.5982374146357144e-16,-6.752264839929155e-11,0.9990482215818545,-0.04361938736541134,-1.7665617925571992e-15,-4.0459747346898806e-14
0.38,-1.0308128175889527e-15,0.19006642570652665,1002.1724691867496,-8.591548017916566e-13,1.3722435094376784,15.684815022312009,-6.919919250635774e-10,2.5969151421015098,29.682825412974434,5.597299307400628e-10,-1.156984537228269e-15,3.006756028937972e-10,0.9990482215818725,-0.04361938736500051,7.866427704157646e-15,1.8016560687194775e-13
0.39,4.704988839655928e-15,0.20391562081461273,1002.3307662116047,3.92148184907268e-12,1.3976017628283357,15.97466153367749,3.158492239329568e-09,2.4748908739377975,28.28836257335301,-2.554802416517414e-09,5.280880526928193e-15,-1.3723882084441156e-09,0.999048221581791,-0.04361938736686728,-3.5905116743300557e-14,-8.22338600333908e-13
0.4,-1.2433066414818898e-14,0.21801261054095328,1002.4918955402377,-1.036262697651647e-11,1.4218450398832843,16.25176241621238,-8.346405298837294e-09,2.370876914658373,27.09863819208959,6.751137824935564e-09,-1.3954876527363561e-14,3.6265747537347636e-09,0.9990482215820344,-0.04361938736128955,9.488028905376263e-14,2.1730530681064017e-12
0.41000000000000003,2.451740900819168e-14,0.23234849472438615,1002.6557554489567,2.043460201256198e-11,1.4453479588330447,16.52040425609528,1.6458709833306476e-08,2.3284382455369426,26.615371742196057,-1.3312919098327666e-08,2.7518345359467753e-14,-7.1514309961475724e-09,0.9990482215815094,-0.04361938737331541,-1.8709936679610626e-13,-4.2851561384542406e-12
